,fecha,salario medio (€),pais
0,2000,34.400 €,Alemania
1,2001,35.200 €,Alemania
2,2002,36.400 €,Alemania
3,2003,37.200 €,Alemania
4,2004,38.100 €,Alemania
5,2005,38.700 €,Alemania
6,2006,39.149 €,Alemania
7,2007,40.100 €,Alemania
8,2008,41.000 €,Alemania
9,2009,40.600 €,Alemania
10,2010,41.736 €,Alemania
11,2011,43.300 €,Alemania
12,2012,44.400 €,Alemania
13,2013,44.900 €,Alemania
14,2014,45.970 €,Alemania
15,2015,47.100 €,Alemania
16,2016,48.100 €,Alemania
17,2017,48.900 €,Alemania
18,2018,50.430 €,Alemania
19,2019,51.800 €,Alemania
20,2020,51.000 €,Alemania
21,2021,52.800 €,Alemania
22,2022,55.041 €,Alemania
23,2000,26.007 €,Australia
24,2001,24.797 €,Australia
25,2002,26.066 €,Australia
26,2003,27.558 €,Australia
27,2004,29.734 €,Australia
28,2005,32.213 €,Australia
29,2006,33.022 €,Australia
30,2007,34.940 €,Australia
31,2008,34.635 €,Australia
32,2009,35.847 €,Australia
33,2010,46.262 €,Australia
34,2011,51.841 €,Australia
35,2012,59.690 €,Australia
36,2013,56.307 €,Australia
37,2014,53.950 €,Australia
38,2015,54.625 €,Australia
39,2016,55.123 €,Australia
40,2017,56.568 €,Australia
41,2018,54.300 €,Australia
42,2019,54.484 €,Australia
43,2020,54.906 €,Australia
44,2021,59.213 €,Australia
45,2022,62.428 €,Australia
46,2000,29.732 €,Austria
47,2001,30.280 €,Austria
48,2002,30.966 €,Austria
49,2003,32.288 €,Austria
50,2004,32.952 €,Austria
51,2005,34.025 €,Austria
52,2006,35.143 €,Austria
53,2007,36.228 €,Austria
54,2008,37.258 €,Austria
55,2009,37.832 €,Austria
56,2010,38.504 €,Austria
57,2011,39.693 €,Austria
58,2012,40.708 €,Austria
59,2013,41.940 €,Austria
60,2014,42.814 €,Austria
61,2015,43.911 €,Austria
62,2016,45.073 €,Austria
63,2017,46.002 €,Austria
64,2018,47.078 €,Austria
65,2019,48.398 €,Austria
66,2020,49.087 €,Austria
67,2021,50.447 €,Austria
68,2022,52.666 €,Austria
69,1996,825 €,Bulgaria
70,1997,947 €,Bulgaria
71,1998,1.189 €,Bulgaria
72,1999,1.250 €,Bulgaria
73,2000,1.357 €,Bulgaria
74,2001,1.413 €,Bulgaria
75,2002,1.474 €,Bulgaria
76,2003,1.531 €,Bulgaria
77,2004,1.630 €,Bulgaria
78,2005,1.974 €,Bulgaria
79,2006,2.195 €,Bulgaria
80,2007,2.594 €,Bulgaria
81,2008,3.328 €,Bulgaria
82,2009,3.769 €,Bulgaria
83,2010,4.048 €,Bulgaria
