,expediente,tipo de contrato,estado,importe,fechas,organo de contratacion
0,"238/2024/36
Procedimiento abierto simplificado abreviado para la contratación del servicio de campamento urbano juvenil para el periodo vacacional estival de verano 2024.","Servicios
Servicios de esparcimiento, culturales y deportivos",Publicada,"19.637,45",Present. Oferta:15/03/2024,Junta de Gobierno del Ayuntamiento de A Coruña
1,"430/2023/10
Contratación, por lotes, del renting de 1 vehículo eléctrico puro para el Parque Móvil (lote 1) y renting de 1 vehículo tipo furgoneta 100% eléctrica para el Servicio de Atención Ciudadana e Interior (lote 2),","Suministros
Alquiler",Resuelta,"73.586,84","Publicación PLACSP:
Adjudicación:28/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
2,"111/2023/86
Contratación del servicio de asistencia técnica para intervenciones y control técnico en dependencias municipales.","Servicios
Otros servicios",Resuelta,"455.720,88","Publicación PLACSP:
Adjudicación:24/01/2024
Formalización:29/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
3,"430/2023/9
Contratación, por lotes, del suministro de vestuario y otras prendas con destino al personal cuyo cometido lo requiere: Servicio de Prevención y Extinción de Incendios (SEIS), Servicios Funerarios y Servicio de Interior y Atención Ciudadana (protocolo y conserjería)","Suministros
Adquisición",Parcialmente Resuelta,"26.024,95","Publicación PLACSP:
Adjudicación:28/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
4,"430/2023/9 L2 Y L3
Contratación, por lotes, del suministro de vestuario y otras prendas con destino al personal cuyo cometido lo requiere: Servicio de Prevención y Extinción de Incendios (SEIS), Servicios Funerarios y Servicio de Interior y Atención Ciudadana (protocolo y conserjería)","Suministros
Adquisición",Resuelta,"26.024,95","Publicación PLACSP:
Adjudicación:28/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
5,"541/2023/745
Obras incluidas en el proyecto básico de ejecución denominado “Reparación de elementos estructurales afectados por la corrosión del acero en la Estación de Bombeo de San Roque”.","Obras
Otros acabados de edificios y obras",Adjudicada,"126.323,47","Publicación PLACSP:
Adjudicación:22/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
6,"521/2021/799
Obras contenidas en el proyecto de construcción de una glorieta en el cruce de la calle Gutenberg con la avenida de Finisterre, financiado con los fondos Next Generation EU","Obras
Construcción general de inmuebles y obras de ingeniería civil",Adjudicada,"326.017,29","Publicación PLACSP:
Adjudicación:14/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
7,"AD0/2024/2
Procedimiento abierto simplificado abreviado para la contratación del seguro de accidentes para el personal del Ayuntamiento de A Coruña",Privado,Adjudicada,"59.000,00","Publicación PLACSP:
Adjudicación:26/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
8,"521/2021/491
Mejora de accesibilidad en la calle Doctor Camilo Veiras (Centro Oncológico Regional - A Coruña) Financiado con los fondos Next Generation EU","Obras
Construcción",Adjudicada,"339.979,09","Publicación PLACSP:
Adjudicación:12/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
9,"236/2023/120
Servicio de Gestión de un Programa Educativo Municipal consistente en un mínimo de 35 Becas para cursar 1º de Bachillerato en EE.UU.","Servicios
Otros servicios",Resuelta,"649.919,76","Publicación PLACSP:
Adjudicación:24/01/2024
Formalización:28/02/2024",Junta de Gobierno del Ayuntamiento de A Coruña
